epoch,train_loss,val_flood_f1,test_flood_f1,test_flood_precision,test_flood_recall,test_macro_f1
1,0.02891,0.20376,0.0298,0.01522,0.70851,0.34636
2,0.01427,0.28964,0.04948,0.02555,0.78187,0.42643
3,0.01241,0.5045,0.05421,0.02839,0.59772,0.46288
4,0.01001,0.44244,,,,
5,0.00939,0.57191,0.08445,0.0448,0.73579,0.49446
6,0.00858,0.52134,,,,
7,0.00752,0.53588,,,,
8,0.00746,0.64994,0.10101,0.05488,0.63315,0.51771
9,0.00711,0.63873,,,,
10,0.00695,0.61948,0.07298,0.03838,0.74154,0.47909
11,0.0064,0.65864,0.09496,0.05071,0.74565,0.50535
12,0.00633,0.63273,,,,
13,0.00618,0.73566,0.09889,0.05349,0.65297,0.51469
14,0.00588,0.57485,,,,
15,0.00493,0.63981,0.09103,0.04829,0.79182,0.49817
16,0.0052,0.74627,0.10664,0.05767,0.70682,0.51872
17,0.00458,0.63357,,,,
18,0.00465,0.76158,0.09493,0.05147,0.61078,0.51352
19,0.00431,0.64253,,,,
20,0.00404,0.75431,0.08798,0.04713,0.65985,0.50361
21,0.00413,0.7501,,,,
22,0.00393,0.77526,0.09744,0.05276,0.63657,0.51431
23,0.0036,0.69238,,,,
24,0.00329,0.75434,,,,
25,0.0033,0.80302,0.10238,0.05541,0.67241,0.51677
26,0.00313,0.83841,0.10832,0.05987,0.56805,0.52727
27,0.0031,0.75893,,,,
28,0.00287,0.68857,,,,
29,0.00277,0.76269,,,,
30,0.00274,0.71265,0.07626,0.04012,0.76719,0.48156
31,0.00254,0.70878,,,,
32,0.00246,0.76778,,,,
33,0.0023,0.79227,,,,
34,0.0025,0.78024,,,,
