epoch,train_loss,val_flood_f1,test_flood_f1,test_flood_precision,test_flood_recall,test_macro_f1
1,0.02454,0.28739,0.11008,0.07655,0.19587,0.54629
2,0.01604,0.53994,0.07423,0.04042,0.45404,0.50423
3,0.01512,0.55285,0.09389,0.05211,0.47334,0.52074
4,0.0131,0.58864,0.06083,0.03248,0.47752,0.48671
5,0.01207,0.53264,0.05807,0.03058,0.57699,0.47216
6,0.01142,0.60896,0.06045,0.03227,0.47671,0.48628
7,0.0104,0.67087,0.09213,0.05018,0.56231,0.51389
8,0.00974,0.64066,0.08747,0.04737,0.57012,0.50903
9,0.009,0.67347,0.0884,0.04766,0.60946,0.50737
10,0.00926,0.69632,0.08118,0.0433,0.64788,0.49706
11,0.00855,0.72322,0.08619,0.04662,0.57005,0.50779
12,0.00813,0.59858,0.06676,0.03525,0.62922,0.48024
13,0.00786,0.7304,0.08635,0.04623,0.65302,0.50236
14,0.00718,0.68793,0.07587,0.04119,0.48056,0.50385
15,0.00725,0.68628,0.07941,0.04273,0.55985,0.50159
16,0.00692,0.7053,0.08283,0.04426,0.64468,0.49914
17,0.00632,0.66806,0.08595,0.04604,0.64547,0.50245
18,0.00607,0.7181,0.09392,0.05084,0.61429,0.51237
19,0.00588,0.75239,0.10384,0.05795,0.49894,0.52729
20,0.00536,0.73634,0.07962,0.0425,0.62859,0.49672
21,0.00512,0.76996,0.08366,0.04524,0.5547,0.50633
22,0.00524,0.79502,0.08068,0.04328,0.5945,0.50041
23,0.00489,0.75659,0.06819,0.03692,0.44646,0.49849
24,0.00464,0.75749,0.085,0.04567,0.61186,0.50376
25,0.00442,0.7606,0.08287,0.04477,0.55638,0.50542
26,0.00403,0.77243,0.08053,0.04291,0.6539,0.49587
27,0.00403,0.7835,0.07445,0.03988,0.55862,0.49623
28,0.0039,0.79374,0.08409,0.04537,0.57414,0.50542
29,0.00353,0.73947,0.07886,0.04184,0.68469,0.49155
30,0.00352,0.7581,0.08872,0.04745,0.68064,0.50301
