epoch,train_loss,test_loss,test_f1,test_iou
1,0.07588,0.07462,0.05497,0.43267
2,0.02536,0.06498,0.09686,0.49343
3,0.01889,0.05598,0.07633,0.44741
4,0.01377,0.05544,0.09852,0.47229
5,0.01233,0.04531,0.08839,0.45222
6,0.01051,0.05618,0.15036,0.51758
7,0.01006,0.04562,0.10955,0.4731
8,0.00983,0.04348,0.08119,0.43252
9,0.00927,0.05859,0.1365,0.51545
10,0.00869,0.04668,0.08482,0.43948
11,0.00791,0.05569,0.07447,0.44881
12,0.0077,0.05408,0.11334,0.49414
13,0.00711,0.05041,0.10345,0.47394
14,0.00678,0.05312,0.09613,0.47677
