epoch,train_loss,val_flood_f1,test_flood_f1,test_flood_precision,test_flood_recall,test_macro_f1
1,0.06963,0.26922,0.04026,0.02089,0.55529,0.43571
2,0.02701,0.55763,0.07236,0.03933,0.45118,0.50254
3,0.01903,0.62989,0.07903,0.04524,0.3126,0.51888
4,0.01507,0.62183,0.09682,0.05572,0.36923,0.52893
5,0.0131,0.66031,0.10494,0.0598,0.42821,0.53175
6,0.01161,0.55102,0.07991,0.04263,0.63594,0.4965
7,0.01061,0.65765,0.11671,0.06801,0.41124,0.54081
8,0.01035,0.70746,0.15913,0.10671,0.3128,0.5704
9,0.00951,0.75925,0.10904,0.06134,0.49082,0.53166
10,0.00965,0.64995,0.09076,0.04915,0.59166,0.51079
11,0.00874,0.75878,0.1154,0.06602,0.45814,0.5378
12,0.00875,0.72629,0.11794,0.06564,0.58028,0.53411
13,0.0087,0.75208,0.10204,0.0597,0.35084,0.53363
14,0.008,0.74804,0.08894,0.04837,0.5515,0.51162
15,0.00702,0.73459,0.14192,0.08136,0.55532,0.55195
16,0.00722,0.79691,0.11007,0.06253,0.45898,0.53396
17,0.00659,0.80301,0.10672,0.05905,0.55354,0.52673
18,0.00623,0.84166,0.09037,0.05049,0.42997,0.52044
19,0.00588,0.77572,0.09888,0.05409,0.57472,0.51913
20,0.00548,0.79976,0.09167,0.0501,0.53866,0.51492
21,0.00537,0.80333,0.08993,0.04964,0.47705,0.51719
22,0.00525,0.83388,0.13127,0.07474,0.53878,0.5454
23,0.00491,0.76117,0.07576,0.03994,0.73314,0.48369
24,0.00458,0.83227,0.10794,0.0596,0.57118,0.52681
25,0.00465,0.83882,0.09745,0.05384,0.51284,0.52141
26,0.00426,0.83954,0.09942,0.05807,0.34513,0.53209
