epoch,train_loss,val_flood_f1,test_flood_f1,test_flood_precision,test_flood_recall,test_macro_f1
1,0.01781,0.25975,0.04111,0.02126,0.62164,0.42649
2,0.0124,0.3807,0.04144,0.0213,0.76424,0.4009
3,0.01085,0.45814,0.05421,0.02815,0.73286,0.44585
4,0.0091,0.49921,0.06178,0.0321,0.82134,0.45186
5,0.00871,0.57465,0.07746,0.04055,0.86377,0.47527
6,0.00806,0.70939,0.10366,0.05581,0.72738,0.51491
7,0.00778,0.70071,,,,
8,0.00725,0.63389,,,,
9,0.00655,0.79606,0.09158,0.04855,0.80398,0.49799
10,0.00662,0.6594,0.08966,0.04734,0.84669,0.49289
11,0.00591,0.7605,,,,
12,0.00636,0.64234,,,,
13,0.00533,0.78059,,,,
14,0.00543,0.6621,,,,
15,0.00502,0.76852,0.07175,0.03746,0.8506,0.4674
16,0.00487,0.69822,,,,
17,0.00466,0.79432,,,,
