epoch,train_loss,val_flood_f1,test_flood_f1,test_flood_precision,test_flood_recall,test_macro_f1
1,0.02519,0.36096,0.05501,0.02943,0.42106,0.48474
2,0.01619,0.55449,0.06263,0.03392,0.4082,0.49566
3,0.01435,0.59926,0.08248,0.04534,0.45555,0.51201
4,0.01218,0.67928,0.0894,0.04925,0.48438,0.51628
5,0.01158,0.60445,0.11139,0.06254,0.50867,0.53254
6,0.01005,0.69981,0.09145,0.04991,0.54516,0.51432
7,0.00922,0.69985,0.1182,0.06727,0.48665,0.53849
8,0.00913,0.6576,0.08835,0.04725,0.67879,0.50274
9,0.00862,0.61977,0.10979,0.06201,0.47809,0.53283
10,0.00857,0.65407,0.07753,0.04094,0.72814,0.48645
11,0.00781,0.74466,0.10814,0.06103,0.47426,0.5318
12,0.00729,0.5725,0.07305,0.03843,0.73786,0.47951
13,0.00699,0.6966,0.0671,0.03522,0.70698,0.47337
14,0.00692,0.69732,0.11311,0.06267,0.58009,0.53044
15,0.00665,0.76053,0.12049,0.06858,0.49564,0.53971
16,0.00592,0.74246,0.08398,0.04468,0.69698,0.49668
17,0.00571,0.70592,0.07757,0.04092,0.742,0.4854
18,0.00549,0.68588,0.098,0.05277,0.68674,0.51191
19,0.00538,0.72397,0.10138,0.05635,0.50508,0.52503
20,0.00442,0.70475,0.06607,0.03462,0.72282,0.47017
21,0.0046,0.77281,0.08298,0.04431,0.65198,0.49878
22,0.00433,0.74521,0.07006,0.03688,0.69798,0.4787
23,0.00427,0.7413,0.07741,0.04134,0.6074,0.4958
24,0.00398,0.6783,0.08657,0.04618,0.69064,0.50002
25,0.00384,0.6951,0.06853,0.03599,0.71422,0.47492
26,0.00378,0.74152,0.07738,0.04108,0.66587,0.49121
27,0.00333,0.72503,0.06931,0.03653,0.67433,0.47976
28,0.00322,0.73922,0.07668,0.04059,0.69144,0.4883
29,0.00288,0.67731,0.06671,0.03488,0.76629,0.46696
