epoch,train_loss,val_flood_f1,test_flood_f1,test_flood_precision,test_flood_recall,test_macro_f1
1,0.01645,0.45559,0.05029,0.02623,0.60572,0.4538
2,0.01171,0.47378,0.04926,0.02556,0.67727,0.44133
3,0.00989,0.43419,,,,
4,0.0087,0.56325,0.06189,0.03222,0.78413,0.45622
5,0.008,0.46075,0.06824,0.03553,0.85804,0.46056
6,0.00758,0.67219,0.09801,0.05252,0.7317,0.50927
7,0.00718,0.64194,,,,
8,0.0071,0.61988,,,,
9,0.00603,0.66128,,,,
10,0.00675,0.68983,0.09795,0.05247,0.73581,0.50897
11,0.00557,0.62283,,,,
12,0.00634,0.65549,,,,
13,0.00528,0.69475,0.07796,0.0414,0.66588,0.49191
14,0.00503,0.62661,,,,
15,0.00465,0.71552,0.07939,0.04225,0.65749,0.49427
16,0.00495,0.60967,,,,
17,0.00457,0.71261,,,,
18,0.0042,0.78088,0.07785,0.04124,0.69416,0.48956
19,0.0045,0.76075,,,,
20,0.0038,0.67318,0.07109,0.03716,0.81964,0.46917
21,0.00406,0.79537,0.07338,0.03864,0.7251,0.48107
22,0.00376,0.79796,0.07549,0.03977,0.74243,0.48255
23,0.00327,0.80894,0.08829,0.047,0.72647,0.49947
24,0.00334,0.82881,0.07517,0.03963,0.72898,0.48323
25,0.00318,0.76615,0.07511,0.03943,0.78896,0.47809
26,0.00324,0.82431,,,,
27,0.00279,0.78858,,,,
28,0.00281,0.7601,,,,
29,0.00255,0.77311,,,,
30,0.00237,0.78706,0.07515,0.03968,0.70754,0.48498
31,0.00251,0.78778,,,,
32,0.00236,0.73622,,,,
