epoch,train_loss,test_flood_f1,test_macro_f1,test_precision,test_recall
1,0.0219,0.04952,0.497,,
2,0.01618,0.07839,0.50849,,
3,0.01382,0.0736,0.49382,,
4,0.01274,0.11195,0.53368,,
5,0.01122,0.07872,0.51629,,
6,0.01034,0.13597,0.55001,,
7,0.00908,0.09339,0.51413,,
8,0.00873,0.0905,0.51452,,
9,0.00852,0.07632,0.50377,,
10,0.00808,0.09456,0.51617,,
11,0.00767,0.1178,0.5471,,
12,0.00747,0.07553,0.49994,,
13,0.00712,0.06549,0.47849,,
14,0.00644,0.10132,0.52203,,
