epoch,train_loss,val_flood_f1,test_flood_f1,test_flood_precision,test_flood_recall,test_macro_f1
1,0.02375,0.26849,0.12543,0.08072,0.28114,0.55182
2,0.0156,0.3924,0.06613,0.03565,0.45671,0.49526
3,0.01504,0.52828,0.08598,0.04836,0.38739,0.51951
4,0.01312,0.4198,0.08166,0.0439,0.5846,0.50218
5,0.01319,0.60015,0.07116,0.03858,0.45704,0.50081
6,0.01243,0.59067,0.06341,0.03351,0.5894,0.4792
7,0.01151,0.68363,0.07823,0.0429,0.44366,0.50891
8,0.01176,0.69705,0.12887,0.08399,0.27676,0.55405
9,0.00978,0.70975,0.06837,0.03654,0.53118,0.49133
10,0.01054,0.74747,0.09025,0.04963,0.49682,0.51624
11,0.00901,0.74806,0.09026,0.04893,0.58132,0.51097
12,0.00933,0.72601,0.09829,0.05395,0.55201,0.5199
13,0.00921,0.77268,0.06958,0.03772,0.44764,0.49989
14,0.00875,0.73949,0.05981,0.03154,0.57547,0.47513
15,0.00745,0.77045,0.13919,0.08407,0.40404,0.5556
16,0.00795,0.82547,0.1077,0.0614,0.43791,0.53327
17,0.00705,0.78778,0.09237,0.05018,0.57914,0.51307
18,0.0065,0.81794,0.10629,0.05924,0.51677,0.52827
19,0.00612,0.8372,0.08627,0.04797,0.42789,0.51716
20,0.00576,0.81963,0.09096,0.05078,0.43554,0.52058
21,0.00604,0.83567,0.08314,0.04505,0.53825,0.50695
22,0.00544,0.82663,0.11347,0.06535,0.43012,0.53773
23,0.00548,0.77923,0.10331,0.05633,0.62269,0.5203
24,0.00501,0.84411,0.07797,0.04225,0.5048,0.50417
25,0.00491,0.84518,0.09301,0.05111,0.51612,0.51746
26,0.00502,0.83185,0.09196,0.05114,0.45613,0.52017
27,0.00462,0.8187,0.09524,0.05275,0.48989,0.5209
28,0.00448,0.78287,0.07878,0.04216,0.59848,0.49803
29,0.00411,0.8316,0.07436,0.03999,0.52819,0.49855
30,0.00458,0.80668,0.08816,0.04811,0.52597,0.51254
31,0.00397,0.79152,0.07363,0.03927,0.58898,0.49282
32,0.00398,0.81262,0.08461,0.04579,0.55528,0.50723
33,0.0036,0.82653,0.07959,0.04279,0.56828,0.50117
