epoch,train_loss,test_loss,test_f1,test_iou
1,0.0732,0.00773,0.49972,0.49944
2,0.01135,0.00381,0.5,0.5
3,0.01074,0.00383,0.5,0.5
4,0.00977,0.00424,0.5,0.5
5,0.00977,0.00384,0.5,0.5
6,nan,nan,0.0,0.0
7,nan,nan,0.0,0.0
8,nan,nan,0.0,0.0
9,nan,nan,0.0,0.0
10,nan,nan,0.0,0.0
11,nan,nan,0.0,0.0
12,nan,nan,0.0,0.0
13,nan,nan,0.0,0.0
14,nan,nan,0.0,0.0
15,nan,nan,0.0,0.0
16,nan,nan,0.0,0.0
17,nan,nan,0.0,0.0
18,nan,nan,0.0,0.0
19,nan,nan,0.0,0.0
20,nan,nan,0.0,0.0
21,nan,nan,0.0,0.0
22,nan,nan,0.0,0.0
23,nan,nan,0.0,0.0
24,nan,nan,0.0,0.0
25,nan,nan,0.0,0.0
26,nan,nan,0.0,0.0
27,nan,nan,0.0,0.0
28,nan,nan,0.0,0.0
29,nan,nan,0.0,0.0
30,nan,nan,0.0,0.0
