epoch,train_loss,test_loss,test_f1,test_iou
1,0.04742,0.0039,0.49976,0.49953
2,0.01161,0.00446,0.5,0.5
3,0.01158,0.00369,0.5,0.5
4,0.01392,0.00362,0.5,0.5
5,0.01054,0.00358,0.5,0.5
6,0.01048,0.0036,0.5,0.5
7,0.00972,0.00355,0.5,0.5
8,0.00973,0.00357,0.5,0.5
9,0.00968,0.00356,0.5,0.5
10,0.00967,0.00354,0.5,0.5
11,0.01054,0.00439,0.5,0.5
12,0.00963,0.00353,0.5,0.5
13,0.00969,0.00357,0.5,0.5
14,0.0097,0.00363,0.5,0.5
15,0.00959,0.00352,0.5,0.5
16,0.00964,0.00356,0.5,0.5
17,0.00965,0.00365,0.5,0.5
18,0.00965,0.00358,0.5,0.5
19,0.00964,0.0036,0.5,0.5
20,0.0096,0.00358,0.5,0.5
