epoch,train_loss,val_flood_f1,test_flood_f1,test_flood_precision,test_flood_recall,test_macro_f1
1,0.05298,0.45001,0.07414,0.04071,0.41469,0.50717
2,0.02111,0.52585,0.09462,0.05232,0.49381,0.52015
3,0.01528,0.58052,0.10911,0.06359,0.38405,0.53688
4,0.01309,0.56189,0.07633,0.04087,0.57661,0.49695
5,0.01203,0.64654,0.13006,0.0751,0.48493,0.5467
6,0.01096,0.6155,0.11511,0.0632,0.64468,0.52895
7,0.01068,0.67849,0.11155,0.06448,0.41312,0.53719
8,0.01017,0.66491,0.11788,0.06844,0.42474,0.54101
9,0.0092,0.70972,0.12524,0.06937,0.64305,0.53682
10,0.00861,0.66961,0.10262,0.0553,0.71105,0.51486
11,0.00803,0.67814,0.11226,0.06525,0.40181,0.53821
12,0.00771,0.78691,0.13992,0.08343,0.43327,0.55501
13,0.00699,0.68294,0.11245,0.06529,0.40517,0.53818
14,0.00724,0.64747,0.07735,0.04109,0.65836,0.49175
15,0.00665,0.73892,0.11112,0.06356,0.44129,0.53556
16,0.00596,0.70389,0.07881,0.04197,0.64403,0.49462
17,0.00566,0.70385,0.1135,0.06357,0.52884,0.53316
18,0.00549,0.67444,0.09756,0.05225,0.73416,0.50869
19,0.00534,0.78174,0.09712,0.05427,0.46175,0.52402
20,0.00529,0.73609,0.0897,0.04802,0.68007,0.50407
