epoch,train_loss,val_flood_f1,test_flood_f1,test_flood_precision,test_flood_recall,test_macro_f1
1,0.02153,0.32048,0.03725,0.01924,0.58851,0.4191
2,0.01301,0.40655,0.04218,0.02176,0.68026,0.41956
3,0.01043,0.49944,0.05121,0.02664,0.6586,0.44872
4,0.00977,0.52634,0.05294,0.02754,0.67867,0.45
5,0.00845,0.62961,0.07608,0.04025,0.69293,0.48741
6,0.00772,0.5423,,,,
7,0.00704,0.64755,0.07678,0.04037,0.7816,0.4811
8,0.00649,0.57351,,,,
9,0.0068,0.61735,,,,
10,0.00632,0.66834,0.07886,0.04177,0.70301,0.49013
11,0.00608,0.66997,0.09073,0.04823,0.76475,0.49962
12,0.00561,0.68555,0.09142,0.04878,0.72526,0.50294
13,0.0055,0.73125,0.11357,0.06196,0.6799,0.52601
14,0.0053,0.73258,0.09772,0.05239,0.72539,0.50936
15,0.00528,0.66506,0.06782,0.03544,0.78484,0.46701
16,0.00506,0.73267,0.08784,0.04659,0.76689,0.49622
17,0.00501,0.70435,,,,
18,0.00458,0.75329,0.08965,0.04768,0.74878,0.49949
19,0.00428,0.76889,0.08751,0.0466,0.7166,0.49928
20,0.00421,0.72937,0.07857,0.04144,0.75684,0.48554
21,0.00393,0.69619,,,,
22,0.00422,0.80101,0.10154,0.05523,0.62874,0.51843
23,0.00364,0.69676,,,,
24,0.00378,0.74883,,,,
25,0.00368,0.77842,0.08471,0.0456,0.59572,0.50457
26,0.00298,0.77771,,,,
27,0.00295,0.8043,0.09123,0.04918,0.62911,0.50888
28,0.00279,0.79774,,,,
29,0.00266,0.77058,,,,
30,0.00278,0.81939,0.10252,0.05544,0.67912,0.51652
31,0.00295,0.82731,0.08734,0.04659,0.69617,0.50049
32,0.00253,0.78577,,,,
33,0.00254,0.75746,,,,
34,0.00248,0.75436,,,,
35,0.00228,0.77016,0.07885,0.04163,0.7441,0.48692
36,0.0024,0.8027,,,,
37,0.0021,0.7928,,,,
38,0.00229,0.80858,,,,
39,0.00235,0.78897,,,,
