epoch,train_loss,test_loss,test_f1,test_iou
1,1.1412,0.97,0.28645,0.23345
2,0.82069,0.58954,0.34257,0.31107
3,0.72448,0.6516,0.32954,0.29235
4,0.69546,0.49259,0.35634,0.32597
5,0.66765,0.58821,0.337,0.30102
6,0.65902,0.77147,0.3209,0.27822
7,0.64175,0.67742,0.32889,0.2885
8,0.63818,0.62559,0.33857,0.29832
9,0.62315,0.77084,0.32365,0.27861
10,0.60748,0.73616,0.32795,0.28362
