epoch,train_loss,val_flood_f1,val_macro_f1
1,0.04619,0.0326,0.39669
2,0.01013,0.0254,0.47545
3,0.00646,0.12424,0.55813
4,0.00431,0.05094,0.52126
5,0.00397,0.05235,0.47146
6,0.0034,0.01252,0.5032
7,0.00308,0.0104,0.50233
8,0.00297,0.0133,0.50381
9,0.00289,0.00095,0.49771
