epoch,train_loss,test_loss,test_f1,test_iou
1,0.82937,0.52804,0.34083,0.31253
2,0.73573,0.87132,0.29366,0.24249
3,0.70776,0.61513,0.32119,0.28256
4,0.69152,0.475,0.35022,0.31729
5,0.6752,0.4977,0.34388,0.31683
6,0.67413,0.6925,0.31696,0.27328
7,0.65369,0.54512,0.34993,0.31336
8,0.6554,0.63067,0.34044,0.30544
9,0.63477,0.54381,0.35273,0.31783
10,0.64482,0.72237,0.3147,0.27186
11,0.62447,0.86866,0.31843,0.27803
12,0.62839,0.68641,0.33242,0.28971
13,0.62656,0.68721,0.32987,0.28606
14,0.61256,0.63544,0.35277,0.31244
15,0.58368,0.74106,0.34367,0.30292
16,0.59002,0.71776,0.33912,0.29877
17,0.59486,0.74199,0.34512,0.30432
18,0.57976,0.90578,0.32807,0.2819
19,0.56056,0.82333,0.34063,0.29843
20,0.55646,1.02617,0.32401,0.27776
21,0.56493,0.9452,0.33345,0.2903
22,0.55213,1.0122,0.32658,0.28127
23,0.54602,0.93217,0.3344,0.29124
24,0.52719,1.00169,0.3262,0.27978
25,0.53291,1.00018,0.33279,0.28815
26,0.52162,0.99085,0.33046,0.28565
27,0.50802,1.14293,0.31953,0.27185
28,0.53303,1.00739,0.32889,0.28467
29,0.52529,1.02719,0.32667,0.2811
30,0.52414,1.01291,0.32931,0.28445
