epoch,train_loss,val_flood_f1,test_flood_f1,test_flood_precision,test_flood_recall,test_macro_f1
1,0.02395,0.38753,0.20818,0.17068,0.26679,0.59851
2,0.01607,0.35155,0.0417,0.02178,0.49064,0.45076
3,0.01408,0.42143,0.06199,0.03308,0.49175,0.48685
4,0.01279,0.54636,0.24751,0.22687,0.27229,0.61921
5,0.01185,0.53867,0.06824,0.03581,0.72366,0.47357
6,0.01101,0.60425,0.12865,0.0728,0.55275,0.54303
7,0.01035,0.61167,0.12162,0.06838,0.5497,0.53817
8,0.00973,0.71725,0.07776,0.04135,0.65082,0.49285
9,0.00936,0.66191,0.09987,0.05423,0.63052,0.51686
10,0.00926,0.77171,0.10584,0.05759,0.65293,0.52086
11,0.00813,0.66568,0.10061,0.05487,0.60472,0.51894
12,0.00846,0.78643,0.1063,0.05751,0.70182,0.51869
13,0.00736,0.77879,0.0683,0.03625,0.5888,0.48611
14,0.00701,0.80774,0.09808,0.05245,0.75416,0.50801
15,0.0066,0.83479,0.13052,0.07266,0.64101,0.5408
16,0.00697,0.78327,0.0947,0.05073,0.71071,0.50724
17,0.00612,0.83265,0.10219,0.05594,0.58938,0.52114
18,0.00605,0.83924,0.09986,0.05414,0.64245,0.51617
19,0.00647,0.85691,0.08537,0.04591,0.60851,0.50437
20,0.00551,0.83324,0.09352,0.05025,0.6735,0.50836
21,0.00582,0.85349,0.09074,0.04974,0.51618,0.51547
22,0.00537,0.83552,0.08818,0.04733,0.64406,0.50486
23,0.00474,0.85282,0.10541,0.05723,0.66662,0.51977
24,0.00485,0.86291,0.1027,0.05683,0.53201,0.52464
25,0.00452,0.84573,0.09797,0.0531,0.63297,0.515
26,0.0048,0.84098,0.10871,0.06298,0.39682,0.53598
27,0.00423,0.84176,0.09246,0.05056,0.5397,0.51556
28,0.00375,0.84728,0.097,0.05219,0.68495,0.51105
29,0.00373,0.8541,0.10012,0.05491,0.56692,0.52062
30,0.00368,0.84092,0.08383,0.04502,0.60747,0.50285
31,0.00413,0.8528,0.09178,0.04982,0.58182,0.51236
32,0.00364,0.83922,0.08602,0.04611,0.63985,0.50291
