epoch,train_loss,val_flood_f1,val_macro_f1
1,0.01925,0.0738,0.53325
2,0.00652,0.00374,0.49909
3,0.00468,0.20019,0.59638
4,0.00371,0.01515,0.50429
5,0.00327,0.08323,0.53837
6,0.00342,0.07005,0.53205
7,0.00305,0.00175,0.49808
8,0.00307,0.00082,0.49768
9,0.00304,0.0,0.49727
