epoch,train_loss,val_flood_f1,test_flood_f1,test_flood_precision,test_flood_recall,test_macro_f1
1,0.03207,0.15757,0.03053,0.01557,0.78484,0.32788
2,0.01579,0.29855,0.0465,0.0239,0.85122,0.40516
3,0.01248,0.4162,0.05905,0.0307,0.76741,0.45233
4,0.01069,0.53518,0.07407,0.03899,0.73951,0.48082
5,0.01027,0.56395,0.06806,0.03555,0.79676,0.46627
6,0.00898,0.5672,0.06696,0.03506,0.73981,0.46996
7,0.00825,0.58391,0.07541,0.03945,0.8552,0.47288
8,0.0079,0.52398,,,,
9,0.00745,0.63404,0.07379,0.03866,0.8079,0.4745
10,0.00746,0.61044,0.07007,0.03656,0.84235,0.46533
11,0.00637,0.62,,,,
12,0.00643,0.54183,,,,
13,0.00674,0.79208,0.10836,0.0594,0.61671,0.52485
14,0.00639,0.62753,,,,
15,0.00536,0.54422,0.07242,0.03777,0.87543,0.46624
16,0.00606,0.64744,,,,
17,0.00482,0.58696,,,,
18,0.00478,0.7592,,,,
19,0.00427,0.63244,,,,
20,0.0041,0.70857,0.08587,0.04533,0.81308,0.49063
21,0.00423,0.67087,,,,
