epoch,train_loss,test_loss,test_f1,test_iou
1,0.90987,0.61757,0.33164,0.3297
2,0.77041,0.48587,0.35581,0.32963
3,0.72438,0.47105,0.35548,0.32427
4,0.70397,0.66195,0.3219,0.28029
5,0.68593,0.57883,0.34334,0.30874
6,0.65694,0.84412,0.31883,0.27654
7,0.66383,0.64695,0.34347,0.30595
8,0.64873,0.70729,0.33364,0.29591
9,0.64214,0.63554,0.33773,0.29906
10,0.64303,0.79332,0.32015,0.27757
11,0.62805,0.63725,0.34209,0.30401
12,0.62938,0.88527,0.31767,0.27376
13,0.62363,0.64428,0.33843,0.30243
14,0.60115,0.69815,0.33734,0.29948
15,0.60212,0.74949,0.33432,0.29004
16,0.60627,0.85892,0.31619,0.26772
17,0.59789,0.73653,0.33623,0.29169
18,0.58968,0.69853,0.34757,0.30429
19,0.58471,0.84435,0.32664,0.28024
20,0.57578,0.70605,0.34227,0.29998
21,0.568,0.79743,0.33226,0.28804
22,0.57611,0.8367,0.33327,0.28808
23,0.57073,1.02198,0.31609,0.2668
24,0.55751,0.79859,0.33947,0.2974
25,0.54839,0.97719,0.31961,0.27141
26,0.55592,0.93351,0.32808,0.28127
27,0.55173,1.05609,0.31587,0.2673
28,0.55547,0.79305,0.33966,0.29712
29,0.53744,0.92483,0.33003,0.28417
30,0.53841,0.92689,0.33327,0.28795
31,0.53145,1.18914,0.31014,0.26
32,0.52731,0.86416,0.33623,0.29276
33,0.52502,0.96692,0.32492,0.27851
34,0.53146,1.00626,0.32369,0.27683
35,0.5237,1.02911,0.32251,0.27507
36,0.53278,0.9954,0.32339,0.27643
37,0.53629,1.03686,0.31946,0.27149
38,0.51909,0.96907,0.326,0.27996
39,0.52585,0.97948,0.32605,0.28043
40,0.52443,0.94705,0.32835,0.28318
