epoch,train_loss,val_flood_f1,test_flood_f1,test_flood_precision,test_flood_recall,test_macro_f1
1,0.0171,0.23689,0.03553,0.01835,0.55764,0.41883
2,0.01196,0.38764,0.05012,0.026,0.69224,0.44138
3,0.01054,0.4584,0.06739,0.03548,0.67123,0.47722
4,0.00931,0.4975,0.06495,0.03401,0.72222,0.46837
5,0.00862,0.46824,0.06231,0.0325,0.7502,0.46073
6,0.0075,0.51511,0.07138,0.03736,0.79943,0.4715
7,0.00677,0.5627,0.08191,0.04335,0.74159,0.49097
8,0.00641,0.56699,0.07529,0.03964,0.74936,0.4817
9,0.00608,0.48213,,,,
10,0.00626,0.53732,0.07203,0.03769,0.81057,0.47152
11,0.00572,0.61519,0.07633,0.04032,0.71377,0.48604
12,0.00538,0.41677,,,,
13,0.00521,0.57613,,,,
14,0.005,0.61741,0.07558,0.03989,0.71652,0.48482
15,0.00493,0.67234,0.09009,0.04806,0.71742,0.50204
16,0.00435,0.57659,,,,
17,0.00441,0.64052,,,,
18,0.00397,0.60803,,,,
19,0.00402,0.64745,,,,
20,0.00353,0.64241,0.06857,0.0358,0.81086,0.46577
21,0.00328,0.67339,0.06851,0.03594,0.73259,0.47316
22,0.0033,0.55705,,,,
23,0.00321,0.58027,,,,
24,0.00299,0.61546,,,,
25,0.003,0.58674,0.07343,0.03842,0.8287,0.47211
26,0.00286,0.67613,0.07521,0.03959,0.75134,0.48142
27,0.00262,0.65632,,,,
28,0.00254,0.63116,,,,
29,0.00229,0.63148,,,,
30,0.00223,0.64047,0.06804,0.03564,0.75121,0.47064
31,0.00212,0.63419,,,,
32,0.00234,0.65902,,,,
33,0.00212,0.65337,,,,
34,0.00209,0.62999,,,,
