epoch,train_loss,val_flood_f1,val_macro_f1
1,0.05644,0.03573,0.42388
2,0.01776,0.06058,0.49735
3,0.0106,0.25456,0.62426
4,0.00785,0.0283,0.51141
5,0.00449,0.00249,0.49849
6,0.00399,8e-05,0.49731
7,0.00339,6e-05,0.4973
8,0.00324,1e-05,0.49728
9,0.00294,0.00021,0.49737
