epoch,train_loss,val_flood_f1,test_flood_f1,test_flood_precision,test_flood_recall,test_macro_f1
1,0.02458,0.29413,0.04005,0.02076,0.56788,0.43279
2,0.01356,0.44662,0.05252,0.02731,0.68158,0.44865
3,0.01069,0.36133,,,,
4,0.00947,0.44169,,,,
5,0.00834,0.46901,0.06769,0.03527,0.83788,0.46157
6,0.00767,0.53244,0.07652,0.04015,0.81198,0.47821
7,0.0073,0.58779,0.11025,0.05989,0.69289,0.52258
8,0.00706,0.58829,0.0947,0.05087,0.68457,0.50885
9,0.00625,0.54964,,,,
10,0.00614,0.64773,0.09395,0.04998,0.78201,0.50203
11,0.00561,0.54273,,,,
12,0.00548,0.65073,0.07933,0.04183,0.76808,0.48566
13,0.00506,0.5453,,,,
14,0.00487,0.50821,,,,
15,0.00467,0.67007,0.08568,0.04579,0.66532,0.5008
16,0.00445,0.65908,,,,
17,0.00407,0.61537,,,,
18,0.00401,0.67447,0.09042,0.04785,0.82086,0.49555
19,0.0038,0.69493,0.10226,0.05488,0.74874,0.51241
20,0.00388,0.65179,0.08519,0.04493,0.81918,0.48934
21,0.00346,0.6941,,,,
22,0.00336,0.73196,0.10122,0.05416,0.77149,0.51011
23,0.00334,0.6815,,,,
24,0.00313,0.69885,,,,
25,0.00299,0.64039,0.06779,0.03542,0.78956,0.46651
26,0.00281,0.6347,,,,
27,0.00291,0.70971,,,,
28,0.00255,0.69009,,,,
29,0.00241,0.67998,,,,
30,0.0025,0.75064,0.10024,0.05377,0.73904,0.51102
31,0.00239,0.71449,,,,
32,0.00236,0.65811,,,,
33,0.00222,0.72044,,,,
34,0.00208,0.68918,,,,
35,0.00211,0.6934,0.08041,0.04231,0.8072,0.48403
36,0.00216,0.69151,,,,
37,0.00214,0.69481,,,,
38,0.00202,0.71741,,,,
