epoch,train_loss,val_loss,val_f1,val_iou
1,0.70605,0.65231,0.2889,0.16629
2,0.64344,0.60637,0.28604,0.27396
3,0.606,0.60587,0.12347,0.39758
4,0.58972,0.59552,0.10602,0.4229
5,0.58274,0.58909,0.09295,0.43258
6,0.57711,0.5924,0.10088,0.42625
7,0.5702,0.59529,0.10122,0.42944
