epoch,train_loss,val_loss,val_f1,val_iou
1,1.19485,1.17319,0.50444,0.40541
2,0.93127,0.92564,0.46786,0.42174
3,0.81905,0.88207,0.45603,0.4178
4,0.78867,0.8871,0.45496,0.41737
5,0.78933,0.88065,0.45496,0.41737
6,0.78214,0.8833,0.45496,0.41737
7,0.77966,0.88263,0.45496,0.41737
8,0.77802,0.88037,0.45496,0.41737
9,0.77681,0.8812,0.45496,0.41737
10,0.77566,0.88231,0.45496,0.41737
