name,type,country,urban_fraction,s1_count,alos2_count,s2_total,s2_usable,landsat_total,landsat_usable,s1_pairs,alos2_pairs,s1_pair_details,alos2_pair_details,total_pairs,grade,grade_order
Ahr_Valley_Germany_2021,Fluvial,Germany,0.05859232494561943,8,0,16,11,1,1,6,0,"[{'sar_date': '2021-07-18', 'sar_orbit': 'ASCENDING', 'sar_rel_orbit': 88, 'optical_matches': 5, 'best_optical': {'date': '2021-07-18', 'cloud': 0.320278}}, {'sar_date': '2021-07-18', 'sar_orbit': 'ASCENDING', 'sar_rel_orbit': 88, 'optical_matches': 5, 'best_optical': {'date': '2021-07-18', 'cloud': 0.320278}}, {'sar_date': '2021-07-22', 'sar_orbit': 'DESCENDING', 'sar_rel_orbit': 139, 'optical_matches': 8, 'best_optical': {'date': '2021-07-21', 'cloud': 3.280537}}, {'sar_date': '2021-07-19', 'sar_orbit': 'ASCENDING', 'sar_rel_orbit': 15, 'optical_matches': 8, 'best_optical': {'date': '2021-07-18', 'cloud': 0.320278}}, {'sar_date': '2021-07-21', 'sar_orbit': 'DESCENDING', 'sar_rel_orbit': 37, 'optical_matches': 4, 'best_optical': {'date': '2021-07-21', 'cloud': 3.280537}}, {'sar_date': '2021-07-24', 'sar_orbit': 'ASCENDING', 'sar_rel_orbit': 88, 'optical_matches': 4, 'best_optical': {'date': '2021-07-23', 'cloud': 8.852741}}]",[],6,C,2
Derna_Libya_2023,Dam_breach,Libya,0.021866305422674145,5,0,3,1,5,3,4,0,"[{'sar_date': '2023-09-12', 'sar_orbit': 'ASCENDING', 'sar_rel_orbit': 175, 'optical_matches': 1, 'best_optical': {'date': '2023-09-12', 'cloud': 9.440854}}, {'sar_date': '2023-09-13', 'sar_orbit': 'DESCENDING', 'sar_rel_orbit': 7, 'optical_matches': 1, 'best_optical': {'date': '2023-09-12', 'cloud': 9.440854}}, {'sar_date': '2023-09-20', 'sar_orbit': 'DESCENDING', 'sar_rel_orbit': 109, 'optical_matches': 2, 'best_optical': {'date': '2023-09-18', 'cloud': 2.66}}, {'sar_date': '2023-09-20', 'sar_orbit': 'DESCENDING', 'sar_rel_orbit': 109, 'optical_matches': 2, 'best_optical': {'date': '2023-09-18', 'cloud': 2.66}}]",[],4,C,2
Rio_Grande_Sul_Brazil_2024,Fluvial,Brazil,0.09832009165982451,3,6,35,5,2,1,1,2,"[{'sar_date': '2024-05-08', 'sar_orbit': 'ASCENDING', 'sar_rel_orbit': 163, 'optical_matches': 3, 'best_optical': {'date': '2024-05-08', 'cloud': 1.918937}}]","[{'sar_date': '2024-05-05', 'sar_orbit': 'N/A', 'sar_rel_orbit': 'N/A', 'optical_matches': 2, 'best_optical': {'date': '2024-05-06', 'cloud': 0.001481}}, {'sar_date': '2024-05-06', 'sar_orbit': 'N/A', 'sar_rel_orbit': 'N/A', 'optical_matches': 5, 'best_optical': {'date': '2024-05-06', 'cloud': 0.001481}}]",3,C,2
Midwest_USA_Omaha_2019,Fluvial,USA,0.07226270542136282,5,0,52,16,7,3,2,0,"[{'sar_date': '2019-03-17', 'sar_orbit': 'ASCENDING', 'sar_rel_orbit': 63, 'optical_matches': 4, 'best_optical': {'date': '2019-03-16', 'cloud': 0.04}}, {'sar_date': '2019-03-29', 'sar_orbit': 'ASCENDING', 'sar_rel_orbit': 63, 'optical_matches': 4, 'best_optical': {'date': '2019-03-31', 'cloud': 0.01506}}]",[],2,C,2
Emilia_Romagna_Italy_2023,Fluvial,Italy,0.06212734404570867,4,0,8,4,1,0,2,0,"[{'sar_date': '2023-05-22', 'sar_orbit': 'DESCENDING', 'sar_rel_orbit': 95, 'optical_matches': 4, 'best_optical': {'date': '2023-05-23', 'cloud': 6.361257}}, {'sar_date': '2023-05-23', 'sar_orbit': 'ASCENDING', 'sar_rel_orbit': 117, 'optical_matches': 4, 'best_optical': {'date': '2023-05-23', 'cloud': 6.361257}}]",[],2,C,2
Miami_Irma_2017,Hurricane,USA,0.25529357783988743,3,2,2,1,0,0,0,0,[],[],0,C,2
New_Orleans_Ida_2021,Hurricane,USA,0.08642236380995545,1,1,20,9,2,2,0,0,[],[],0,C,2
Fort_Lauderdale_2023,Flash_flood,USA,0.319232020125305,2,0,4,4,1,0,0,0,[],[],0,C,2
Tokyo_Hagibis_2019,Typhoon,Japan,0.5595182306225448,7,0,2,0,0,0,0,0,[],[],0,C,2
Seoul_2022,Flash_flood,South Korea,0.3676000712430091,1,1,2,0,0,0,0,0,[],[],0,C,2
Osaka_2018,Fluvial,Japan,0.4565206618918555,2,0,0,0,1,0,0,0,[],[],0,C,2
Lismore_Australia_2022,Fluvial,Australia,0.010076522124262771,4,0,18,0,2,0,0,0,[],[],0,C,2
Dubai_2024,Flash_flood,UAE,0.22691859729883432,1,0,6,3,2,2,0,0,[],[],0,C,2
Kerala_2018,Monsoon,India,0.04098259901375156,6,2,0,0,2,0,0,0,[],[],0,C,2
Chennai_2015,Fluvial,India,0.1526897635202524,1,2,0,0,0,0,0,0,[],[],0,C,2
