epoch,train_loss,val_flood_f1,test_flood_f1,test_flood_precision,test_flood_recall,test_macro_f1
1,0.02418,0.21271,0.02882,0.01474,0.63969,0.36047
2,0.01377,0.4502,0.05204,0.02707,0.66987,0.44911
3,0.01101,0.5449,0.0571,0.02974,0.71551,0.4544
4,0.01065,0.58811,0.06634,0.0347,0.75383,0.46756
5,0.00921,0.55513,0.06584,0.03424,0.85423,0.45644
6,0.0083,0.65793,0.07294,0.03845,0.70821,0.48192
7,0.00764,0.68731,0.06724,0.03495,0.88166,0.4563
8,0.00769,0.6758,,,,
9,0.00732,0.57427,,,,
10,0.00675,0.703,0.06706,0.03491,0.84738,0.45946
11,0.00605,0.70694,0.06158,0.03191,0.87725,0.44505
12,0.00564,0.62995,,,,
13,0.00634,0.68861,,,,
14,0.00583,0.70152,,,,
15,0.00508,0.73886,0.07231,0.03771,0.87408,0.46617
16,0.00488,0.72365,,,,
17,0.00518,0.74357,0.06461,0.03366,0.80478,0.45926
18,0.00455,0.78624,0.08187,0.04315,0.79537,0.48687
19,0.00428,0.80363,0.07257,0.03813,0.74907,0.47783
20,0.00437,0.7788,0.07402,0.03868,0.86,0.47027
21,0.00372,0.77715,,,,
22,0.00365,0.75213,,,,
23,0.0036,0.73001,,,,
24,0.00358,0.82227,0.08475,0.04488,0.75826,0.49319
25,0.0036,0.7959,0.07668,0.04021,0.82462,0.47739
26,0.00296,0.85161,0.07953,0.04193,0.76926,0.48582
27,0.0029,0.86028,0.07759,0.04083,0.7769,0.48261
28,0.00248,0.83162,,,,
29,0.00242,0.81573,,,,
30,0.00261,0.80769,0.06898,0.03599,0.83095,0.46454
31,0.00258,0.83182,,,,
32,0.00248,0.7991,,,,
33,0.0025,0.79632,,,,
34,0.00225,0.76491,,,,
35,0.0022,0.79778,0.06116,0.03169,0.86818,0.44515
