epoch,train_loss,val_flood_f1,test_flood_f1,test_flood_precision,test_flood_recall,test_macro_f1
1,0.01909,0.17948,0.03188,0.01638,0.59114,0.39409
2,0.01275,0.28587,0.04354,0.0224,0.77608,0.40718
3,0.01104,0.44072,0.05392,0.02803,0.71023,0.44813
4,0.01031,0.50588,0.07163,0.0377,0.7181,0.47919
5,0.00901,0.47034,0.05588,0.02889,0.85296,0.4343
6,0.00772,0.5712,0.07391,0.03875,0.79855,0.47549
7,0.0072,0.48684,,,,
8,0.00739,0.51331,,,,
9,0.00681,0.53593,,,,
10,0.0063,0.63674,0.08892,0.04713,0.78363,0.49632
11,0.00613,0.57693,,,,
12,0.00584,0.37761,,,,
13,0.00572,0.43503,,,,
14,0.00513,0.54022,,,,
15,0.00505,0.64353,0.08356,0.04401,0.82571,0.48678
16,0.00492,0.61552,,,,
17,0.00467,0.67411,0.09041,0.04775,0.84751,0.49374
18,0.00425,0.58336,,,,
19,0.00453,0.66422,,,,
20,0.00398,0.6253,0.07137,0.03731,0.81926,0.46967
21,0.00349,0.65743,,,,
22,0.00363,0.69035,0.06136,0.03176,0.89818,0.4421
23,0.00364,0.68469,,,,
24,0.00355,0.64518,,,,
25,0.00278,0.55774,0.06202,0.03216,0.86716,0.44718
26,0.00328,0.67731,,,,
27,0.00303,0.73134,0.07289,0.03827,0.76317,0.47706
28,0.00284,0.71221,,,,
29,0.00261,0.68259,,,,
30,0.00239,0.73487,0.07101,0.0372,0.77855,0.47283
31,0.00217,0.66896,,,,
32,0.00247,0.7237,,,,
33,0.00306,0.74863,0.07862,0.04146,0.75729,0.48556
34,0.00245,0.72055,,,,
35,0.00204,0.6724,0.06489,0.03375,0.83843,0.45625
36,0.00225,0.74605,,,,
37,0.00199,0.72812,,,,
38,0.0022,0.68704,,,,
39,0.0021,0.72379,,,,
40,0.00214,0.70974,0.07157,0.03748,0.78928,0.47271
