epoch,train_loss,val_flood_f1,test_flood_f1,test_flood_precision,test_flood_recall,test_macro_f1
1,0.0207,0.34936,0.10696,0.06612,0.27969,0.54045
2,0.01518,0.38419,0.0925,0.05221,0.40555,0.5236
3,0.01336,0.54205,0.06509,0.03487,0.489,0.49108
4,0.01258,0.68014,0.08604,0.04739,0.46661,0.51446
5,0.01135,0.71988,0.13736,0.07898,0.52671,0.54997
6,0.01005,0.72433,0.14444,0.08448,0.49776,0.55561
7,0.00917,0.71559,0.09911,0.05369,0.64361,0.51543
8,0.00871,0.77026,0.1304,0.07457,0.51882,0.54559
9,0.00848,0.72229,0.09608,0.05136,0.74314,0.50666
10,0.00813,0.76855,0.0949,0.05226,0.51539,0.51913
11,0.00779,0.79273,0.1203,0.06844,0.49642,0.53954
12,0.00728,0.77302,0.10465,0.05707,0.62991,0.52106
13,0.0071,0.80984,0.10492,0.05841,0.51485,0.5273
14,0.00679,0.82523,0.11254,0.06209,0.60031,0.52902
15,0.00637,0.811,0.09037,0.04897,0.58476,0.51086
16,0.00629,0.80167,0.08661,0.04803,0.4402,0.51666
17,0.00641,0.82278,0.10342,0.05706,0.55203,0.52417
18,0.0057,0.82916,0.08402,0.04539,0.56447,0.50602
19,0.00505,0.86844,0.09408,0.05213,0.4814,0.52042
20,0.00524,0.7918,0.0855,0.04595,0.61302,0.5042
21,0.00483,0.71456,0.073,0.03845,0.71846,0.48111
22,0.00464,0.81347,0.09065,0.0499,0.49441,0.51674
23,0.00463,0.80766,0.09485,0.05141,0.61193,0.51337
24,0.00442,0.8035,0.08111,0.04361,0.57944,0.50197
25,0.00417,0.81709,0.08893,0.0483,0.55955,0.5111
26,0.00355,0.84779,0.08677,0.04656,0.63736,0.50386
27,0.00376,0.85387,0.08536,0.04625,0.55302,0.50812
