epoch,train_loss,val_loss,val_f1,val_iou
1,1.89537,1.67949,0.07461,0.03991
2,1.64495,1.57424,0.09394,0.0513
3,1.44373,1.41003,0.29839,0.26009
4,1.26358,1.3154,0.30032,0.27127
5,1.148,1.18037,0.30258,0.27684
6,1.06873,1.11631,0.30302,0.27767
7,1.00855,1.06891,0.30316,0.27795
8,0.96936,1.06746,0.30316,0.27798
9,0.95112,1.0929,0.30316,0.27795
10,0.94388,1.0555,0.30317,0.27799
