epoch,train_loss,val_flood_f1,val_macro_f1
1,0.08065,0.02703,0.37299
2,0.02496,0.05705,0.51444
3,0.01346,0.11615,0.55011
4,0.01068,0.10516,0.54754
5,0.00728,0.0063,0.50033
6,0.00492,0.1055,0.54954
7,0.00432,0.21841,0.60577
8,0.00395,0.23795,0.61539
9,0.00359,0.24898,0.62145
10,0.00354,0.08157,0.53769
11,0.00319,0.054,0.50367
12,0.00314,0.21542,0.60407
13,0.00309,0.0,0.49727
14,0.0033,0.13325,0.56384
15,0.00288,0.0752,0.53482
