epoch,train_loss,val_flood_f1,test_flood_f1,test_flood_precision,test_flood_recall,test_macro_f1
1,0.04817,0.40183,0.0513,0.02715,0.4644,0.474
2,0.02337,0.53841,0.1225,0.073,0.38054,0.54595
3,0.01653,0.59442,0.08435,0.04715,0.39982,0.51736
4,0.01374,0.58409,,,,
5,0.01197,0.69952,0.09994,0.05508,0.53892,0.52202
6,0.01073,0.731,0.12066,0.06848,0.50712,0.53934
7,0.00997,0.7291,,,,
8,0.00957,0.74458,0.14978,0.09449,0.36102,0.56348
9,0.00899,0.70381,,,,
10,0.00868,0.79899,0.13395,0.0804,0.40104,0.55244
11,0.00775,0.76707,,,,
12,0.00764,0.78632,,,,
13,0.00763,0.81524,0.17254,0.11493,0.34595,0.57707
14,0.00705,0.79869,,,,
15,0.00697,0.81379,0.11417,0.06455,0.49353,0.5353
16,0.00682,0.80533,,,,
17,0.0067,0.78769,,,,
18,0.00618,0.82653,0.10131,0.0565,0.48982,0.52579
19,0.00527,0.84553,0.10027,0.05676,0.42936,0.52822
20,0.00579,0.84715,0.09335,0.05132,0.51611,0.51776
21,0.00516,0.77999,,,,
22,0.00534,0.81806,,,,
23,0.00488,0.85846,0.09199,0.04998,0.57695,0.51286
24,0.00479,0.83494,,,,
25,0.00461,0.84589,0.09105,0.05061,0.45358,0.51957
26,0.00407,0.84374,,,,
27,0.00352,0.84214,,,,
28,0.00354,0.8508,,,,
29,0.00333,0.85455,,,,
30,0.0033,0.82014,0.08812,0.0472,0.66251,0.50358
31,0.00364,0.85293,,,,
