epoch,train_loss,val_flood_f1,val_macro_f1
1,0.05718,0.05362,0.47231
2,0.01409,0.05053,0.46884
3,0.00683,0.0904,0.5281
4,0.00452,0.06612,0.52995
5,0.00387,0.06063,0.52761
6,0.00337,0.0766,0.53561
7,0.00315,0.12162,0.55813
8,0.00296,0.18299,0.5889
9,0.003,0.00332,0.49893
10,0.00292,0.03724,0.51536
11,0.00273,0.02319,0.50887
12,0.00265,0.0857,0.54007
13,0.00257,0.06586,0.53024
14,0.00252,0.07545,0.53503
